file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\adobo\adobo_019fb6b5e78c.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_019fb6b5e78c.jpg,adobo,Adobo,Philippines,train,224,224,,,,,0c456a2557e8,
train\adobo\adobo_01ede34481b3.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_01ede34481b3.jpg,adobo,Adobo,Philippines,train,224,224,,,,,2be6c240d83b,
train\adobo\adobo_03ebf4113c21.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_03ebf4113c21.jpg,adobo,Adobo,Philippines,train,224,224,,,,,290484b695ff,
train\adobo\adobo_04b7c63f1d55.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_04b7c63f1d55.jpg,adobo,Adobo,Philippines,train,224,224,,,,,a5b03c587912,
train\adobo\adobo_05169d99e4be.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_05169d99e4be.jpg,adobo,Adobo,Philippines,train,224,224,,,,,55132c978285,
train\adobo\adobo_05a0871258f1.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_05a0871258f1.jpg,adobo,Adobo,Philippines,train,224,224,,,,,5b6832be8303,
train\adobo\adobo_05e0a10f0e0d.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_05e0a10f0e0d.jpg,adobo,Adobo,Philippines,train,224,224,,,,,45675e6c77eb,
train\adobo\adobo_061eff74b0b1.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_061eff74b0b1.jpg,adobo,Adobo,Philippines,train,224,224,,,,,afee172ae8cc,
train\adobo\adobo_06f87a32a8ff.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_06f87a32a8ff.jpg,adobo,Adobo,Philippines,train,224,224,,,,,0e26a81d4bba,
train\adobo\adobo_06f88f1abfae.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_06f88f1abfae.jpg,adobo,Adobo,Philippines,train,224,224,,,,,a3346a1b8d3d,
train\adobo\adobo_082b2faaf30f.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_082b2faaf30f.jpg,adobo,Adobo,Philippines,train,224,224,,,,,2cfeb0f7c9ad,
train\adobo\adobo_09bd66d3253d.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_09bd66d3253d.jpg,adobo,Adobo,Philippines,train,224,224,,,,,6a969051194e,
train\adobo\adobo_0b4b40601d9b.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_0b4b40601d9b.jpg,adobo,Adobo,Philippines,train,224,224,,,,,9258b89b5e29,
train\adobo\adobo_0b7fbf367a4e.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_0b7fbf367a4e.jpg,adobo,Adobo,Philippines,train,224,224,,,,,dfb39cd49e57,
train\adobo\adobo_0b9bacda10f4.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_0b9bacda10f4.jpg,adobo,Adobo,Philippines,train,224,224,,,,,431aa5b75ff6,
train\adobo\adobo_0bd7a33458ac.jpg,D:\Machine Learning project\sea_food_dataset\train\adobo\adobo_0bd7a33458ac.jpg,adobo,Adobo,Philippines,train,224,224,,,,,a33ba852c777,
