file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\amok_trey\amok_trey_01b53c6cc5fd.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_01b53c6cc5fd.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,e0a20b126f0d,
train\amok_trey\amok_trey_01e3ee76b161.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_01e3ee76b161.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,71326fc07379,
train\amok_trey\amok_trey_0236f234c219.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0236f234c219.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,541657d686b1,
train\amok_trey\amok_trey_037b0e3a98ba.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_037b0e3a98ba.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,6411901803c8,
train\amok_trey\amok_trey_039942b783b1.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_039942b783b1.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,1d7c94d6070b,
train\amok_trey\amok_trey_04b923985c97.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_04b923985c97.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,3767eaed2582,
train\amok_trey\amok_trey_04c49dbde914.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_04c49dbde914.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,4dc820b3f561,
train\amok_trey\amok_trey_04cc0d7ca05b.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_04cc0d7ca05b.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,1f8d4597b0eb,
train\amok_trey\amok_trey_05bc9aef56df.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_05bc9aef56df.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,8d88a01f6abf,
train\amok_trey\amok_trey_060af65036d0.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_060af65036d0.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,c9156e2fd56a,
train\amok_trey\amok_trey_063713428b6c.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_063713428b6c.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,334ad8fbd7d9,
train\amok_trey\amok_trey_0640f018268e.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0640f018268e.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,def79db55be7,
train\amok_trey\amok_trey_0654dc8e4c37.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0654dc8e4c37.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,5fe4bf6aa377,
train\amok_trey\amok_trey_06a51eacf96c.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_06a51eacf96c.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,5404349384e9,
train\amok_trey\amok_trey_06d3f3affc79.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_06d3f3affc79.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,e3c5cadff0e3,
train\amok_trey\amok_trey_07a6ded0d89f.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_07a6ded0d89f.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,b01e2397bfea,
train\amok_trey\amok_trey_07d7859b74af.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_07d7859b74af.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,bb5f8955ed63,
train\amok_trey\amok_trey_08c2d805e966.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_08c2d805e966.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,f9143b0ebd8a,
train\amok_trey\amok_trey_08f2bf776da5.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_08f2bf776da5.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,23d0b3053d1f,
train\amok_trey\amok_trey_09efab16ee32.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_09efab16ee32.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,4cc4ea874c76,
train\amok_trey\amok_trey_0a02d3384c76.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0a02d3384c76.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,e07d04d6deaf,
train\amok_trey\amok_trey_0a24bdd8fbbb.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0a24bdd8fbbb.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,e96823b8fd03,
train\amok_trey\amok_trey_0ae3c6220b15.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0ae3c6220b15.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,d59ca2d60fd2,
train\amok_trey\amok_trey_0d05fda22a77.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0d05fda22a77.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,5b8897712aad,
train\amok_trey\amok_trey_0d566ba8dd04.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0d566ba8dd04.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,2f7d936cd962,
train\amok_trey\amok_trey_0dded7da0987.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0dded7da0987.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,f1c95ba5519a,
train\amok_trey\amok_trey_0e8f521d8d82.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0e8f521d8d82.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,a0179a533d8e,
train\amok_trey\amok_trey_0fbb4ca14024.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0fbb4ca14024.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,aef5b51e7505,
train\amok_trey\amok_trey_0fc18306571c.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0fc18306571c.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,536bdada927a,
train\amok_trey\amok_trey_0ffe2e31196d.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_0ffe2e31196d.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,3fea6ea2936e,
train\amok_trey\amok_trey_10c01ccf1858.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_10c01ccf1858.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,35c1883e5605,
train\amok_trey\amok_trey_11919e8973fb.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_11919e8973fb.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,e55bc3f342db,
train\amok_trey\amok_trey_11a238ca5090.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_11a238ca5090.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,bdbb5379b439,
train\amok_trey\amok_trey_147a827dec1a.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_147a827dec1a.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,9563e33a2114,
train\amok_trey\amok_trey_152c29980bd0.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_152c29980bd0.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,7b13936e2b42,
train\amok_trey\amok_trey_155f4c82ccfe.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_155f4c82ccfe.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,66eb6420cdba,
train\amok_trey\amok_trey_15da9261a11a.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_15da9261a11a.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,83dc80d0e278,
train\amok_trey\amok_trey_161bae7840bd.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_161bae7840bd.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,4c6ac6f382b7,
train\amok_trey\amok_trey_175c2c4f7bc7.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_175c2c4f7bc7.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,a46fde3eb3d8,
train\amok_trey\amok_trey_17a0a3318afd.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_17a0a3318afd.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,f9056256e5c4,
train\amok_trey\amok_trey_17e0886096ce.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_17e0886096ce.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,b7e1c6faa2e8,
train\amok_trey\amok_trey_1cef887d424b.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_1cef887d424b.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,75c8e0d53822,
train\amok_trey\amok_trey_1d1ce030dd95.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_1d1ce030dd95.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,09a9c0d28bbe,
train\amok_trey\amok_trey_1de3950b992a.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_1de3950b992a.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,4c489b6cfe66,
train\amok_trey\amok_trey_1de6f6bc9446.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_1de6f6bc9446.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,eed827475bb4,
train\amok_trey\amok_trey_1ffb7a4dd3df.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_1ffb7a4dd3df.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,8ecc8c8b881d,
train\amok_trey\amok_trey_1ffc2ec460ea.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_1ffc2ec460ea.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,91dae55d468a,
train\amok_trey\amok_trey_1ffdbc5d447e.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_1ffdbc5d447e.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,5afd45aeca78,
train\amok_trey\amok_trey_20e25d263f2c.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_20e25d263f2c.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,376a12c06845,
train\amok_trey\amok_trey_211bd26ab8a9.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_211bd26ab8a9.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,7f2e96c8782a,
train\amok_trey\amok_trey_21938cb51305.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_21938cb51305.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,fa12303b3170,
train\amok_trey\amok_trey_21e6f550013c.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_21e6f550013c.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,cbc4ea8204be,
train\amok_trey\amok_trey_223721402da1.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_223721402da1.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,c169949e7248,
train\amok_trey\amok_trey_2243787725f4.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_2243787725f4.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,9e6a4e53e898,
train\amok_trey\amok_trey_224387de7ff8.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_224387de7ff8.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,2891f08250eb,
train\amok_trey\amok_trey_22fbc1f58b3c.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_22fbc1f58b3c.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,9db3d82c7c63,
train\amok_trey\amok_trey_2385db108e0f.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_2385db108e0f.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,2eda05c8b7a9,
train\amok_trey\amok_trey_257e7bd88b18.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_257e7bd88b18.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,0bb82c738039,
train\amok_trey\amok_trey_25dfdbca557c.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_25dfdbca557c.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,c624c099ba52,
train\amok_trey\amok_trey_2851bc5a9e7f.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_2851bc5a9e7f.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,16906620f8e9,
train\amok_trey\amok_trey_28bb2de5d260.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_28bb2de5d260.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,45250f9793a0,
train\amok_trey\amok_trey_2aabbd017abe.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_2aabbd017abe.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,6b5c43c5967f,
train\amok_trey\amok_trey_2b5be54970ed.jpg,D:\Machine Learning project\sea_food_dataset\train\amok_trey\amok_trey_2b5be54970ed.jpg,amok_trey,Amok Trey,Cambodia,train,224,224,,,,,eaccf4e72078,
