file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\banh_mi\banh_mi_004958f48c4e.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_004958f48c4e.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,82ee401b3cb8,
train\banh_mi\banh_mi_029c28eeba7b.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_029c28eeba7b.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,c2ff9fd459fa,
train\banh_mi\banh_mi_02c77db65b2d.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_02c77db65b2d.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,fe32da62df89,
train\banh_mi\banh_mi_02f4be9dfe33.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_02f4be9dfe33.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,ddf70207e58c,
train\banh_mi\banh_mi_02f92918ffcf.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_02f92918ffcf.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,04c17a9541ef,
train\banh_mi\banh_mi_046ed6317beb.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_046ed6317beb.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,ceb9125b8fdd,
train\banh_mi\banh_mi_04a4efe2ba92.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_04a4efe2ba92.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,382acac2be08,
train\banh_mi\banh_mi_04f2e6eb0f89.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_04f2e6eb0f89.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,ba732414c424,
train\banh_mi\banh_mi_04f579c717b5.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_04f579c717b5.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,83ad0818f4b4,
train\banh_mi\banh_mi_05233e06da68.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_05233e06da68.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,cfa965732a86,
train\banh_mi\banh_mi_059b72823c76.jpg,D:\Machine Learning project\sea_food_dataset\train\banh_mi\banh_mi_059b72823c76.jpg,banh_mi,Bánh Mì,Vietnam,train,224,224,,,,,895e4cbdab1c,
