file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\hainanese_chicken_rice\hainanese_chicken_rice_002b2887d118.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_002b2887d118.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,b131b432ce98,
train\hainanese_chicken_rice\hainanese_chicken_rice_002c103fde82.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_002c103fde82.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,e91961973196,
train\hainanese_chicken_rice\hainanese_chicken_rice_007281282265.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_007281282265.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,7b513a64aa56,
train\hainanese_chicken_rice\hainanese_chicken_rice_0123d9713369.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0123d9713369.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,20468dd4e4c7,
train\hainanese_chicken_rice\hainanese_chicken_rice_02764ae0636d.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_02764ae0636d.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,2da3f6077c5b,
train\hainanese_chicken_rice\hainanese_chicken_rice_030133648028.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_030133648028.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,94ea72a52eec,
train\hainanese_chicken_rice\hainanese_chicken_rice_0385a3467073.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0385a3467073.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,e40177ee3d0d,
train\hainanese_chicken_rice\hainanese_chicken_rice_0418ac81ba2f.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0418ac81ba2f.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,e230e8a73815,
train\hainanese_chicken_rice\hainanese_chicken_rice_053ee20970cc.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_053ee20970cc.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,9e036cdda068,
train\hainanese_chicken_rice\hainanese_chicken_rice_056c3e6252ed.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_056c3e6252ed.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,57cfdbc823d2,
train\hainanese_chicken_rice\hainanese_chicken_rice_067316a6f8bf.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_067316a6f8bf.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,2c9f6367529d,
train\hainanese_chicken_rice\hainanese_chicken_rice_08973ebaecd1.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_08973ebaecd1.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,91b5d3c4c832,
train\hainanese_chicken_rice\hainanese_chicken_rice_08a1917c1a61.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_08a1917c1a61.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,aabce321af76,
train\hainanese_chicken_rice\hainanese_chicken_rice_091b3c0d965d.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_091b3c0d965d.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,a89c92da6e25,
train\hainanese_chicken_rice\hainanese_chicken_rice_0a40963b132f.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0a40963b132f.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,b8ecd768568b,
train\hainanese_chicken_rice\hainanese_chicken_rice_0bec57d7c524.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0bec57d7c524.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,9d4571d677f1,
train\hainanese_chicken_rice\hainanese_chicken_rice_0dbad92be4d3.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0dbad92be4d3.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,6f146fb2e018,
train\hainanese_chicken_rice\hainanese_chicken_rice_0e0affd86a0b.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0e0affd86a0b.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,67e1cf29815b,
train\hainanese_chicken_rice\hainanese_chicken_rice_0edc77b0120a.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0edc77b0120a.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,3a062aa394d2,
train\hainanese_chicken_rice\hainanese_chicken_rice_0fdd92b716a0.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_0fdd92b716a0.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,28c33f558d1c,
train\hainanese_chicken_rice\hainanese_chicken_rice_141d6704eb65.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_141d6704eb65.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,f3774b64be59,
train\hainanese_chicken_rice\hainanese_chicken_rice_144a9fd0f817.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_144a9fd0f817.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,17092dd82bc6,
train\hainanese_chicken_rice\hainanese_chicken_rice_166cbaf7193c.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_166cbaf7193c.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,e3978aa869a2,
train\hainanese_chicken_rice\hainanese_chicken_rice_16b3e0b5ce89.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_16b3e0b5ce89.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,8875cc2f5e1a,
train\hainanese_chicken_rice\hainanese_chicken_rice_172ec1c78673.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_172ec1c78673.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,17c824540541,
train\hainanese_chicken_rice\hainanese_chicken_rice_174bc90639cb.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_174bc90639cb.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,b3828803c79f,
train\hainanese_chicken_rice\hainanese_chicken_rice_1913626713ac.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1913626713ac.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,f053b5a66b5f,
train\hainanese_chicken_rice\hainanese_chicken_rice_1934e8d5ceb9.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1934e8d5ceb9.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,020c409c1457,
train\hainanese_chicken_rice\hainanese_chicken_rice_19d44beb42c6.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_19d44beb42c6.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,4998a543679d,
train\hainanese_chicken_rice\hainanese_chicken_rice_19f28cbf6340.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_19f28cbf6340.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,8e0d0e5843e1,
train\hainanese_chicken_rice\hainanese_chicken_rice_1a597a1c5449.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1a597a1c5449.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,51bb708814a1,
train\hainanese_chicken_rice\hainanese_chicken_rice_1a5f3aeae8e0.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1a5f3aeae8e0.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,3ecbdd7ffbee,
train\hainanese_chicken_rice\hainanese_chicken_rice_1a749db0710e.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1a749db0710e.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,09d5242faabc,
train\hainanese_chicken_rice\hainanese_chicken_rice_1b0982d370a9.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1b0982d370a9.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,5e0a39e66b58,
train\hainanese_chicken_rice\hainanese_chicken_rice_1d38d17e16f5.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1d38d17e16f5.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,8b781660f4cf,
train\hainanese_chicken_rice\hainanese_chicken_rice_1dd3b90b0d11.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1dd3b90b0d11.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,f287f5812ecf,
train\hainanese_chicken_rice\hainanese_chicken_rice_1ea5847234b1.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1ea5847234b1.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,d2531699f2f0,
train\hainanese_chicken_rice\hainanese_chicken_rice_1f6bb0d18c4a.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1f6bb0d18c4a.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,6f3b2b54d278,
train\hainanese_chicken_rice\hainanese_chicken_rice_1f6c25218a35.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_1f6c25218a35.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,d9e734d639d6,
train\hainanese_chicken_rice\hainanese_chicken_rice_2094c03f09d2.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2094c03f09d2.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,bd66df41df35,
train\hainanese_chicken_rice\hainanese_chicken_rice_209ec729086b.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_209ec729086b.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,ad7e1f2df232,
train\hainanese_chicken_rice\hainanese_chicken_rice_2163eaf1b4ab.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2163eaf1b4ab.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,e40831d11046,
train\hainanese_chicken_rice\hainanese_chicken_rice_21a4883b6925.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_21a4883b6925.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,90bdb3105f91,
train\hainanese_chicken_rice\hainanese_chicken_rice_21b05571df34.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_21b05571df34.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,5f165f8f68c9,
train\hainanese_chicken_rice\hainanese_chicken_rice_2359bf4bbf9d.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2359bf4bbf9d.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,b6ca16a871e5,
train\hainanese_chicken_rice\hainanese_chicken_rice_23ae7170e9d6.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_23ae7170e9d6.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,1ab8201285e0,
train\hainanese_chicken_rice\hainanese_chicken_rice_25499a6440ba.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_25499a6440ba.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,2d9e65f5f5c6,
train\hainanese_chicken_rice\hainanese_chicken_rice_25ad2a42b820.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_25ad2a42b820.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,ee86f1d4b17a,
train\hainanese_chicken_rice\hainanese_chicken_rice_26b18101fd8e.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_26b18101fd8e.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,7d32b0ae6687,
train\hainanese_chicken_rice\hainanese_chicken_rice_2741868cd4b5.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2741868cd4b5.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,5b126065a15a,
train\hainanese_chicken_rice\hainanese_chicken_rice_2781cb07278d.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2781cb07278d.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,4200b57003da,
train\hainanese_chicken_rice\hainanese_chicken_rice_28e7fa2aae13.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_28e7fa2aae13.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,8b0372db0b90,
train\hainanese_chicken_rice\hainanese_chicken_rice_292c1cd95836.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_292c1cd95836.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,e431728b65df,
train\hainanese_chicken_rice\hainanese_chicken_rice_29462a939c51.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_29462a939c51.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,d96ff1dcce18,
train\hainanese_chicken_rice\hainanese_chicken_rice_29f98e0d03a5.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_29f98e0d03a5.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,07d756f3ca85,
train\hainanese_chicken_rice\hainanese_chicken_rice_2ac5c9bb0c6b.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2ac5c9bb0c6b.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,4ef791ce3a26,
train\hainanese_chicken_rice\hainanese_chicken_rice_2b86cedd266f.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2b86cedd266f.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,280f0a8e1bab,
train\hainanese_chicken_rice\hainanese_chicken_rice_2c9d717d1d43.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2c9d717d1d43.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,82fccaa83d0a,
train\hainanese_chicken_rice\hainanese_chicken_rice_2d07ef321591.jpg,D:\Machine Learning project\sea_food_dataset\train\hainanese_chicken_rice\hainanese_chicken_rice_2d07ef321591.jpg,hainanese_chicken_rice,Hainanese Chicken Rice,Singapore,train,224,224,,,,,c1b8586bcf82,
