file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\laksa\laksa_00c298764c85.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_00c298764c85.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,e030772ff7fb,
train\laksa\laksa_01a549c4b51c.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_01a549c4b51c.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,137f5ed5af93,
train\laksa\laksa_03aec1c06461.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_03aec1c06461.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,e2d4caa20c8c,
train\laksa\laksa_04206876ba67.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_04206876ba67.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,e1bac38a7f11,
train\laksa\laksa_04887617db56.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_04887617db56.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,f2aa51782084,
train\laksa\laksa_049b97109a65.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_049b97109a65.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,d6ca0e648fff,
train\laksa\laksa_05de4e375ca5.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_05de4e375ca5.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,a1421aebbcd4,
train\laksa\laksa_0678df55301e.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0678df55301e.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,86cd28250af9,
train\laksa\laksa_070928100140.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_070928100140.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,23fce85c482c,
train\laksa\laksa_071a6d6824fa.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_071a6d6824fa.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,13497f9fd3c2,
train\laksa\laksa_07353df81c55.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_07353df81c55.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,3a0de150e38a,
train\laksa\laksa_074a0ccd6972.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_074a0ccd6972.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,8fc155729562,
train\laksa\laksa_09f3f38c419d.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_09f3f38c419d.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,e013639007ad,
train\laksa\laksa_0a46dda31b80.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0a46dda31b80.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,c5810346ca3e,
train\laksa\laksa_0a63f83d8dbc.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0a63f83d8dbc.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,3e41e63f02e4,
train\laksa\laksa_0ae13818def9.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0ae13818def9.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,bbab8d93298b,
train\laksa\laksa_0af7358334b7.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0af7358334b7.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,b5e7cc859d51,
train\laksa\laksa_0c9028e856fd.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0c9028e856fd.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,063925aaded5,
train\laksa\laksa_0cec47eea61b.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0cec47eea61b.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,e6aaa1da7f6f,
train\laksa\laksa_0da6eb4aedae.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0da6eb4aedae.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,99e0cddcd6ed,
train\laksa\laksa_0e8a630f66fc.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0e8a630f66fc.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,755bc76bf127,
train\laksa\laksa_0e91a5ccedd3.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0e91a5ccedd3.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,7077e19a7a5e,
train\laksa\laksa_0e93a1a2b8d9.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_0e93a1a2b8d9.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,258bacbfd397,
train\laksa\laksa_1139908ceda5.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_1139908ceda5.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,05d25f91d2d4,
train\laksa\laksa_119d6118ac96.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_119d6118ac96.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,3bbbca91e5fe,
train\laksa\laksa_11dfd2460f3c.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_11dfd2460f3c.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,431efb61d402,
train\laksa\laksa_11ee69215422.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_11ee69215422.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,c424fa53651e,
train\laksa\laksa_131726d9c10a.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_131726d9c10a.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,a6c69400a682,
train\laksa\laksa_13ecfb2b17cc.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_13ecfb2b17cc.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,2066d891634d,
train\laksa\laksa_144fb8eda7d4.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_144fb8eda7d4.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,39d4a8c6be72,
train\laksa\laksa_161a1ea17447.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_161a1ea17447.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,734331540296,
train\laksa\laksa_165bcdd89afc.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_165bcdd89afc.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,06b0ca6b23de,
train\laksa\laksa_1939a5a5ca9e.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_1939a5a5ca9e.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,f93e66b62198,
train\laksa\laksa_1acc48f39429.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_1acc48f39429.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,cf9b3ab68216,
train\laksa\laksa_1b3ba5855d3b.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_1b3ba5855d3b.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,e815a8bdbc42,
train\laksa\laksa_1b74bc687364.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_1b74bc687364.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,809f226fdae5,
train\laksa\laksa_1d57d88cb757.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_1d57d88cb757.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,2862b7a65514,
train\laksa\laksa_1d8d6080435a.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_1d8d6080435a.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,04ad074b2ab8,
train\laksa\laksa_21204c242af7.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_21204c242af7.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,ed8f67087e7e,
train\laksa\laksa_217f9a42a451.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_217f9a42a451.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,5b7f5b0a6e59,
train\laksa\laksa_21d12bef8c67.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_21d12bef8c67.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,c7eae4af0e3d,
train\laksa\laksa_22a9a052e01f.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_22a9a052e01f.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,40388a1521b6,
train\laksa\laksa_23546ada9c89.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_23546ada9c89.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,a4c89a5ff098,
train\laksa\laksa_240032344ebe.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_240032344ebe.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,a7c3b9ab9b04,
train\laksa\laksa_288165826b52.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_288165826b52.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,ccd31c310ece,
train\laksa\laksa_290bc8601588.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_290bc8601588.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,02d640f25d52,
train\laksa\laksa_292e1a3ad4e3.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_292e1a3ad4e3.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,8e02c7daaec0,
train\laksa\laksa_296a9c21f084.jpg,D:\Machine Learning project\sea_food_dataset\train\laksa\laksa_296a9c21f084.jpg,laksa,Laksa,Malaysia / Singapore,train,224,224,,,,,170fd109ecb0,
