file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\mohinga\mohinga_001df53f8e4c.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_001df53f8e4c.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,edf1716e061c,
train\mohinga\mohinga_012b311caa89.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_012b311caa89.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,94adc1a9b606,
train\mohinga\mohinga_0185344f1162.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0185344f1162.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,4dd265e9d78a,
train\mohinga\mohinga_01f2edc0e8ab.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_01f2edc0e8ab.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,1e76d3bf5997,
train\mohinga\mohinga_0203ff21a1f8.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0203ff21a1f8.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,7dfea989bc4a,
train\mohinga\mohinga_0248e74927d3.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0248e74927d3.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,6460a3c33058,
train\mohinga\mohinga_025a16680781.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_025a16680781.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,cdeb89e14e42,
train\mohinga\mohinga_03a6dfbd0be2.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_03a6dfbd0be2.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,9951404ecb57,
train\mohinga\mohinga_0456d6d44110.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0456d6d44110.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,97c23fbe37dd,
train\mohinga\mohinga_049df2653070.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_049df2653070.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,0f6f78dcdcca,
train\mohinga\mohinga_04ee729ed9a2.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_04ee729ed9a2.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,6950ee3344fd,
train\mohinga\mohinga_0559da30c42e.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0559da30c42e.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,cddf14e91fd0,
train\mohinga\mohinga_074b9b91f34c.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_074b9b91f34c.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,5ef5b3cd9812,
train\mohinga\mohinga_07c2a99200e1.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_07c2a99200e1.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,8c57c8f549e8,
train\mohinga\mohinga_07cb3b4396ab.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_07cb3b4396ab.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,112255dccbac,
train\mohinga\mohinga_0806cb35bc0b.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0806cb35bc0b.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,68556abd9a88,
train\mohinga\mohinga_08d7cb4bac3d.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_08d7cb4bac3d.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,d55b9e62bccf,
train\mohinga\mohinga_0a337ecbbc03.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0a337ecbbc03.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,157cd3cc193c,
train\mohinga\mohinga_0b1f7df67829.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0b1f7df67829.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,726a6570fec2,
train\mohinga\mohinga_0b9e1ce462d4.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0b9e1ce462d4.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,df6db4511131,
train\mohinga\mohinga_0bdc9970e710.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0bdc9970e710.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,ddad0df9d788,
train\mohinga\mohinga_0c55f487dcad.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0c55f487dcad.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,5b79b9895d3c,
train\mohinga\mohinga_0d56240a1b26.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0d56240a1b26.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,f66b1a1c5416,
train\mohinga\mohinga_0fe31ca96617.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_0fe31ca96617.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,87aa3455d4cc,
train\mohinga\mohinga_10648ef7d03b.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_10648ef7d03b.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,78119e75a8cd,
train\mohinga\mohinga_111304170728.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_111304170728.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,7995c5fcd023,
train\mohinga\mohinga_1115995b51a4.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_1115995b51a4.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,fa92d36c5f78,
train\mohinga\mohinga_1230cab342ca.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_1230cab342ca.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,4a27068ac12b,
train\mohinga\mohinga_1267ed6e3adb.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_1267ed6e3adb.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,638a1e8d49c2,
train\mohinga\mohinga_126e4820cfe4.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_126e4820cfe4.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,8f3e242bcb70,
train\mohinga\mohinga_1342d20cedfd.jpg,D:\Machine Learning project\sea_food_dataset\train\mohinga\mohinga_1342d20cedfd.jpg,mohinga,Mohinga,Myanmar,train,224,224,,,,,f18f24d104df,
