file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\nasi_goreng\nasi_goreng_000ef8830103.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_000ef8830103.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,323688aa56ee,
train\nasi_goreng\nasi_goreng_001074807de2.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_001074807de2.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,e642f569d635,
train\nasi_goreng\nasi_goreng_0052d939b09e.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0052d939b09e.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,6e5d5e6d6829,
train\nasi_goreng\nasi_goreng_012f36d288b9.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_012f36d288b9.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,2f05cca56522,
train\nasi_goreng\nasi_goreng_01b491805e7e.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_01b491805e7e.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,375133760fa2,
train\nasi_goreng\nasi_goreng_028a774fefd5.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_028a774fefd5.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,a421dc015c88,
train\nasi_goreng\nasi_goreng_02f4358333ff.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_02f4358333ff.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,44dc6797b055,
train\nasi_goreng\nasi_goreng_031ec407cd1e.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_031ec407cd1e.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,f13397a8b31f,
train\nasi_goreng\nasi_goreng_04139c610aec.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_04139c610aec.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,cc3c94768759,
train\nasi_goreng\nasi_goreng_042109a4d75f.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_042109a4d75f.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,354c9158992d,
train\nasi_goreng\nasi_goreng_0586d46ccd5e.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0586d46ccd5e.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,7ced64969d2b,
train\nasi_goreng\nasi_goreng_0720717efe4f.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0720717efe4f.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,179f59b65335,
train\nasi_goreng\nasi_goreng_086073b75245.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_086073b75245.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,fdf064aeab6c,
train\nasi_goreng\nasi_goreng_09f21f25c772.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_09f21f25c772.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,6c0f144bbb4f,
train\nasi_goreng\nasi_goreng_0b1e0d950f42.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0b1e0d950f42.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,6d4d12afe75e,
train\nasi_goreng\nasi_goreng_0b59f8b583f9.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0b59f8b583f9.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,6a3fd09badaf,
train\nasi_goreng\nasi_goreng_0b7da3f59dc5.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0b7da3f59dc5.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,71a75484a29e,
train\nasi_goreng\nasi_goreng_0c4f458deeca.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0c4f458deeca.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,1bbe97e13321,
train\nasi_goreng\nasi_goreng_0d46495b7914.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0d46495b7914.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,76734847b763,
train\nasi_goreng\nasi_goreng_0dbaa2da06ad.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0dbaa2da06ad.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,6ae6f652d835,
train\nasi_goreng\nasi_goreng_0ddad0d2ce6b.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0ddad0d2ce6b.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,099f4ad8352c,
train\nasi_goreng\nasi_goreng_0e5b5f7ceb12.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0e5b5f7ceb12.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,c3938cf6bb31,
train\nasi_goreng\nasi_goreng_0f3c19fa08f0.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0f3c19fa08f0.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,9d071fc332a0,
train\nasi_goreng\nasi_goreng_0fa7e34c2de4.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_0fa7e34c2de4.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,e493d1e88967,
train\nasi_goreng\nasi_goreng_10e66972fad7.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_10e66972fad7.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,95bcc61b5c4d,
train\nasi_goreng\nasi_goreng_121af609dd8d.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_121af609dd8d.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,5b30dfdf80d2,
train\nasi_goreng\nasi_goreng_1237cf75fa9b.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1237cf75fa9b.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,5350b94eac10,
train\nasi_goreng\nasi_goreng_139082d0877e.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_139082d0877e.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,4393900bb40c,
train\nasi_goreng\nasi_goreng_14665d05bdcb.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_14665d05bdcb.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,9dca3a6d3c55,
train\nasi_goreng\nasi_goreng_14c8a6118d2f.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_14c8a6118d2f.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,59fe4a9aaad8,
train\nasi_goreng\nasi_goreng_14cad1ee6f23.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_14cad1ee6f23.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,483371edaea6,
train\nasi_goreng\nasi_goreng_150bbeb97ce4.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_150bbeb97ce4.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,4121f96fff82,
train\nasi_goreng\nasi_goreng_171a1a36db1b.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_171a1a36db1b.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,07d7147d05ee,
train\nasi_goreng\nasi_goreng_1809dcdebe22.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1809dcdebe22.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,16776067eae2,
train\nasi_goreng\nasi_goreng_1842bd07585d.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1842bd07585d.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,fadfe29cf41c,
train\nasi_goreng\nasi_goreng_1a7d1e931fe1.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1a7d1e931fe1.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,742e37b2c4cc,
train\nasi_goreng\nasi_goreng_1b5859b9260c.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1b5859b9260c.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,f8dca6af03fe,
train\nasi_goreng\nasi_goreng_1caa525e65b6.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1caa525e65b6.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,0ef9e4c99dd6,
train\nasi_goreng\nasi_goreng_1d32fc1a1a01.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1d32fc1a1a01.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,56018e86a0d6,
train\nasi_goreng\nasi_goreng_1ec38c0607a5.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_1ec38c0607a5.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,a9f70c90c54a,
train\nasi_goreng\nasi_goreng_203cf001c7f2.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_203cf001c7f2.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,6d7240fcb9e5,
train\nasi_goreng\nasi_goreng_208f429eff77.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_208f429eff77.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,3338c3038b02,
train\nasi_goreng\nasi_goreng_214baeb6d889.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_214baeb6d889.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,bf4bb48e7ba0,
train\nasi_goreng\nasi_goreng_21bd1c217ce4.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_21bd1c217ce4.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,fb28005c2d4f,
train\nasi_goreng\nasi_goreng_225b15185786.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_225b15185786.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,bb049567cf94,
train\nasi_goreng\nasi_goreng_23cec4579ec1.jpg,D:\Machine Learning project\sea_food_dataset\train\nasi_goreng\nasi_goreng_23cec4579ec1.jpg,nasi_goreng,Nasi Goreng,Indonesia,train,224,224,,,,,665065714843,
