file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\pad_thai\pad_thai_011ffb52c8dd.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_011ffb52c8dd.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,f7a098100d76,
train\pad_thai\pad_thai_028564a5d897.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_028564a5d897.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,d104551850f3,
train\pad_thai\pad_thai_02d19e357db8.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_02d19e357db8.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,86dd2b79d030,
train\pad_thai\pad_thai_043c84a8483d.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_043c84a8483d.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,8593c037e9f9,
train\pad_thai\pad_thai_0565f23a3970.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0565f23a3970.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,652de089de4f,
train\pad_thai\pad_thai_05b8d11c2499.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_05b8d11c2499.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,65342dc8a48b,
train\pad_thai\pad_thai_0694525d2e0c.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0694525d2e0c.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,47d4942059db,
train\pad_thai\pad_thai_069c8f8ee1a2.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_069c8f8ee1a2.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,0f4c31d587ff,
train\pad_thai\pad_thai_069e1719ace9.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_069e1719ace9.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,7fd089d12d1b,
train\pad_thai\pad_thai_06a5fd818577.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_06a5fd818577.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,39436f061e51,
train\pad_thai\pad_thai_06bbed36c711.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_06bbed36c711.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,1ea8901a9a93,
train\pad_thai\pad_thai_07016a0c4889.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_07016a0c4889.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,752132618894,
train\pad_thai\pad_thai_0759af478dc1.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0759af478dc1.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,0f7d07b05aac,
train\pad_thai\pad_thai_081f04359fe1.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_081f04359fe1.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,90240c1cd7b5,
train\pad_thai\pad_thai_0849a45cdc45.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0849a45cdc45.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,516624e82020,
train\pad_thai\pad_thai_08dd12d7cee1.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_08dd12d7cee1.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,06ab418592a7,
train\pad_thai\pad_thai_09497583eafc.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_09497583eafc.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,0befba7970e8,
train\pad_thai\pad_thai_0ae9c32b68fd.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0ae9c32b68fd.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,fd4ed3c16030,
train\pad_thai\pad_thai_0b7d30ee4087.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0b7d30ee4087.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,b1214104d327,
train\pad_thai\pad_thai_0babdb9b5609.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0babdb9b5609.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,37573c979080,
train\pad_thai\pad_thai_0c4c82286cac.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0c4c82286cac.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,c8b67ae3e756,
train\pad_thai\pad_thai_0df896d07da8.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0df896d07da8.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,3a82eba86212,
train\pad_thai\pad_thai_0e25d4faff90.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0e25d4faff90.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,d67ef1a4b2de,
train\pad_thai\pad_thai_0ea1a1fd6e89.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0ea1a1fd6e89.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,30c270b0beaa,
train\pad_thai\pad_thai_0fac5a159eda.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0fac5a159eda.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,d47cccc7f1d2,
train\pad_thai\pad_thai_0fde8a6be3bd.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_0fde8a6be3bd.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,f1e0217b5512,
train\pad_thai\pad_thai_114c06a983ab.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_114c06a983ab.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,69be0d972f4c,
train\pad_thai\pad_thai_1348ee7b0467.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_1348ee7b0467.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,e82e1c2ed75f,
train\pad_thai\pad_thai_15241fd21934.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_15241fd21934.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,99a561d92ad6,
train\pad_thai\pad_thai_176b15986f10.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_176b15986f10.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,c5761b10fbb4,
train\pad_thai\pad_thai_1808e7ab7db7.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_1808e7ab7db7.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,152a5dd813a4,
train\pad_thai\pad_thai_19133fdee2aa.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_19133fdee2aa.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,05cca09913da,
train\pad_thai\pad_thai_19ce17fb5f79.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_19ce17fb5f79.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,d1a39e7a6c7c,
train\pad_thai\pad_thai_1a55765344f0.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_1a55765344f0.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,bc9744fb9a55,
train\pad_thai\pad_thai_1a5aa2c1ad55.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_1a5aa2c1ad55.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,7513333feb76,
train\pad_thai\pad_thai_1b9a70f7328a.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_1b9a70f7328a.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,0d017a314177,
train\pad_thai\pad_thai_1bb3c70dd83d.jpg,D:\Machine Learning project\sea_food_dataset\train\pad_thai\pad_thai_1bb3c70dd83d.jpg,pad_thai,Pad Thai,Thailand,train,224,224,,,,,2f99d05f652a,
