file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\pho\pho_00994e51f720.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_00994e51f720.jpg,pho,Phở,Vietnam,train,224,224,,,,,d70c1ddce007,
train\pho\pho_00b681acd218.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_00b681acd218.jpg,pho,Phở,Vietnam,train,224,224,,,,,a0fb48cba26d,
train\pho\pho_017f9c4ec72c.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_017f9c4ec72c.jpg,pho,Phở,Vietnam,train,224,224,,,,,c98475c3005e,
train\pho\pho_018af8ee5d3b.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_018af8ee5d3b.jpg,pho,Phở,Vietnam,train,224,224,,,,,e46de24161d1,
train\pho\pho_01ff1e2a5b38.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_01ff1e2a5b38.jpg,pho,Phở,Vietnam,train,224,224,,,,,d2592d9c6b2d,
train\pho\pho_0380f1cf9f22.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0380f1cf9f22.jpg,pho,Phở,Vietnam,train,224,224,,,,,fb91ef210e07,
train\pho\pho_04155dc562c6.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_04155dc562c6.jpg,pho,Phở,Vietnam,train,224,224,,,,,f7a451dfbc8e,
train\pho\pho_0526b77f82d1.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0526b77f82d1.jpg,pho,Phở,Vietnam,train,224,224,,,,,cfb0371d89d4,
train\pho\pho_067f9846ac54.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_067f9846ac54.jpg,pho,Phở,Vietnam,train,224,224,,,,,e656c55d531f,
train\pho\pho_070e4a7bb74b.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_070e4a7bb74b.jpg,pho,Phở,Vietnam,train,224,224,,,,,7f3cacb10037,
train\pho\pho_07a915268925.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_07a915268925.jpg,pho,Phở,Vietnam,train,224,224,,,,,aef81b099ff4,
train\pho\pho_0842e95816aa.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0842e95816aa.jpg,pho,Phở,Vietnam,train,224,224,,,,,1d46c013641d,
train\pho\pho_0901e563e601.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0901e563e601.jpg,pho,Phở,Vietnam,train,224,224,,,,,38fcf585c967,
train\pho\pho_0ae9342112ae.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0ae9342112ae.jpg,pho,Phở,Vietnam,train,224,224,,,,,9fca341e71bf,
train\pho\pho_0c5ceeccbdd8.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0c5ceeccbdd8.jpg,pho,Phở,Vietnam,train,224,224,,,,,b91aec4f32d6,
train\pho\pho_0c85951bd3df.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0c85951bd3df.jpg,pho,Phở,Vietnam,train,224,224,,,,,69efe0040f8a,
train\pho\pho_0ca168d58e2b.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0ca168d58e2b.jpg,pho,Phở,Vietnam,train,224,224,,,,,d1099e9f07b1,
train\pho\pho_0cba56edea71.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0cba56edea71.jpg,pho,Phở,Vietnam,train,224,224,,,,,7797925f8144,
train\pho\pho_0e0fdaad9e08.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0e0fdaad9e08.jpg,pho,Phở,Vietnam,train,224,224,,,,,123bd43e9faa,
train\pho\pho_0f0ccdd3a28b.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0f0ccdd3a28b.jpg,pho,Phở,Vietnam,train,224,224,,,,,562644b76c46,
train\pho\pho_0fba9904b2dc.jpg,D:\Machine Learning project\sea_food_dataset\train\pho\pho_0fba9904b2dc.jpg,pho,Phở,Vietnam,train,224,224,,,,,1274141f83d9,
