file_path,abs_path,label,display_name,country,split,width,height,orig_width,orig_height,source,source_url,sha256,created_at
train\satay\satay_0025f92a9301.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0025f92a9301.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,ceb3d361308c,
train\satay\satay_016774b9055b.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_016774b9055b.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,623f762f6da7,
train\satay\satay_01da9ad69ed0.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_01da9ad69ed0.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,259131e6b9e9,
train\satay\satay_02555f5dab9b.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_02555f5dab9b.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,2167c2b5b4e6,
train\satay\satay_02661292c627.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_02661292c627.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,26258f6a853f,
train\satay\satay_027b8f7250c2.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_027b8f7250c2.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,e710c3fcc33a,
train\satay\satay_02a708cb595b.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_02a708cb595b.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,18ae64152c9d,
train\satay\satay_044d93f715cf.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_044d93f715cf.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,33710c8d930b,
train\satay\satay_05317349fc9c.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_05317349fc9c.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,6ade1e302167,
train\satay\satay_056bdaa039f1.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_056bdaa039f1.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,9282bb2488fb,
train\satay\satay_07c919246ce3.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_07c919246ce3.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,9ba45cc15549,
train\satay\satay_0812bc6858e4.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0812bc6858e4.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,61354e1096a5,
train\satay\satay_095ffb7238f5.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_095ffb7238f5.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,c2c929337fef,
train\satay\satay_09718112403f.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_09718112403f.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,f785503ac7da,
train\satay\satay_09a7dc84df3f.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_09a7dc84df3f.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,d462a34f3d88,
train\satay\satay_0b52e6562c3a.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0b52e6562c3a.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,2e464cf805fd,
train\satay\satay_0b54a8ce9572.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0b54a8ce9572.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,e50c24e8308c,
train\satay\satay_0b813bfc175a.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0b813bfc175a.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,9952f016edaa,
train\satay\satay_0bafefb5f2ff.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0bafefb5f2ff.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,86f4b5393051,
train\satay\satay_0c6aa49127aa.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0c6aa49127aa.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,982e4a93dc2b,
train\satay\satay_0cbb30f9dfca.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0cbb30f9dfca.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,c2fce79838da,
train\satay\satay_0cead059c93f.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0cead059c93f.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,125c9c181fcc,
train\satay\satay_0d1a3d188847.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0d1a3d188847.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,bcf20e0db8e7,
train\satay\satay_0d213376407e.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0d213376407e.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,215d74bc18cc,
train\satay\satay_0d477b6c173a.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0d477b6c173a.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,bfc6baae84fd,
train\satay\satay_0dfe9952b36b.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0dfe9952b36b.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,e52c3b73762e,
train\satay\satay_0f0beb4aaa9c.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0f0beb4aaa9c.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,1c447a8dae08,
train\satay\satay_0f42c60be6d8.jpg,D:\Machine Learning project\sea_food_dataset\train\satay\satay_0f42c60be6d8.jpg,satay,Satay / Saté,Indonesia / Malaysia,train,224,224,,,,,7173bbcde8d5,
