ingredient,calories,protein,fat,carbs
rice (cooked),130,2.7,0.3,28
jasmine rice (cooked),129,2.7,0.3,28
rice noodles (cooked),109,1.8,0.2,24.9
egg noodles (cooked),138,4.5,2.1,25
baguette,274,9,2,52
egg,155,13,11,1.1
chicken breast,165,31,3.6,0
chicken thigh,209,26,11,0
beef (lean),217,26,12,0
pork (lean),242,27,14,0
pork belly,518,9,53,0
shrimp,99,24,0.3,0.2
white fish,105,23,1,0
catfish,105,18,3,0
tofu,76,8,4.8,1.9
peanuts,567,26,49,16
bean sprouts,31,3,0.2,6
onion,40,1.1,0.1,9.3
shallot,72,2.5,0.1,17
garlic,149,6.4,0.5,33
lemongrass,99,1.8,0.5,25
galangal,71,1,0.7,15
ginger,80,1.8,0.8,18
fish sauce,35,5,0,3
soy sauce,53,8,0.6,4.9
oyster sauce,51,1.4,0.3,11
shrimp paste,73,13,1.5,1.5
coconut milk,230,2.3,24,6
coconut cream,330,3.6,35,6.6
tamarind paste,239,2.8,0.6,63
palm sugar,375,0,0,94
white sugar,387,0,0,100
lime,30,0.7,0.2,11
lime juice,25,0.4,0.1,8.4
chili pepper,40,1.9,0.4,8.8
chili paste,101,2,3,18
curry paste (red),119,2.5,5,17
turmeric,312,9.7,3.3,67
cucumber,15,0.7,0.1,3.6
tomato,18,0.9,0.2,3.9
carrot,41,0.9,0.2,9.6
daikon radish,18,0.6,0.1,4.1
cabbage,25,1.3,0.1,5.8
morning glory (water spinach),19,2.6,0.2,3.1
banana blossom,51,1.6,0.6,9.9
cilantro,23,2.1,0.5,3.7
thai basil,23,3.2,0.6,2.7
mint,44,3.3,0.7,8.4
scallion,32,1.8,0.2,7.3
fried shallots,464,3,38,28
crispy fried garlic,510,10,35,40
vegetable oil,884,0,100,0
peanut oil,884,0,100,0
sesame oil,884,0,100,0
kroeung paste,120,2,6,15
banana leaf,0,0,0,0
duck egg,185,13,14,1.5
chickpea flour,387,22,7,58
split pea (boiled),118,8,0.4,21
banana stem,30,0.5,0.2,7
noodle (wheat),138,4.5,0.7,28
pate,319,14,28,2.8
pickled carrot and daikon,30,0.5,0.1,7
mayonnaise,680,1,75,0.6
pork sausage (cha lua),210,15,16,1.5
chicken broth,15,1.5,0.5,1.1
beef broth,17,2.7,0.5,0.1
fish broth,16,2.2,0.6,0.4
dried shrimp,250,50,3,3
laksa paste,150,3,9,14
candlenut,660,8,66,8
kecap manis (sweet soy),240,2,0,56
sambal,60,2,1,12
satay peanut sauce,320,10,24,18
bamboo shoot,27,2.6,0.3,5.2
star anise,337,18,16,50
cinnamon,247,4,1.2,81
hoisin sauce,220,3.3,3.4,44
sriracha,93,1.9,0.9,19
vinegar,18,0,0,0.9
adobo sauce (soy-vinegar),45,2,1,7
bay leaf,313,7.6,8.4,75
black pepper,251,10,3.3,64
fermented tea leaves (laphet),62,4.0,1.5,8
sesame seeds (toasted),573,18,50,23
fried broad beans,470,25,20,50
fried garlic chips,510,10,35,40
