class,precision,recall,f1_score,support
adobo,0.782608695652174,0.9230769230769231,0.8470588235294118,39
amok_trey,0.6756756756756757,0.7352941176470589,0.704225352112676,34
banh_mi,1.0,0.975,0.9873417721518988,40
hainanese_chicken_rice,0.775,0.8157894736842105,0.7948717948717948,38
laksa,0.8,0.7619047619047619,0.7804878048780488,42
laphet_thoke,0.9259259259259259,0.6756756756756757,0.78125,37
nasi_goreng,0.8235294117647058,0.6666666666666666,0.7368421052631579,42
pad_thai,0.68,0.8717948717948718,0.7640449438202247,39
pho,0.74,0.8409090909090909,0.7872340425531915,44
satay,0.975609756097561,0.8163265306122449,0.8888888888888888,49
