epoch,phase,loss,train_accuracy,validation_accuracy
1,PHASE 1,1.7402522586426645,0.46949052132701424,0.6343283582089553
2,PHASE 1,1.2883085799667071,0.6258886255924171,0.7014925373134329
3,PHASE 1,1.1314421723473747,0.6569905213270142,0.7139303482587065
4,PHASE 1,1.0608819818721626,0.6898696682464455,0.7313432835820896
5,PHASE 1,1.0127675207156055,0.696978672985782,0.7139303482587065
6,PHASE 2,0.9838894228890257,0.7067535545023697,0.7487562189054726
7,PHASE 2,0.94468089038471,0.7144549763033176,0.7512437810945274
8,PHASE 2,0.8549451052017931,0.735781990521327,0.763681592039801
9,PHASE 2,0.8196028485050741,0.755627962085308,0.753731343283582
10,PHASE 2,0.7905019077489961,0.7565165876777251,0.7512437810945274
11,PHASE 2,0.7446436437795747,0.7742890995260664,0.7686567164179104
12,PHASE 2,0.7105649709701538,0.7784360189573459,0.763681592039801
13,PHASE 2,0.7087903970255042,0.7825829383886256,0.7686567164179104
14,PHASE 2,0.6977039851107687,0.7805094786729858,0.7736318407960199
15,PHASE 2,0.660852979095477,0.7885071090047393,0.7786069651741293
16,PHASE 2,0.669681690211566,0.7965047393364929,0.7985074626865671
17,PHASE 2,0.6268211195491394,0.8021327014218009,0.7960199004975125
18,PHASE 2,0.6242640577959564,0.8012440758293838,0.7910447761194029
19,PHASE 2,0.6157547751406454,0.8033175355450237,0.7860696517412935
20,PHASE 2,0.6222363782097708,0.8039099526066351,0.7960199004975125
21,PHASE 2,0.6108525417885691,0.807760663507109,0.8009950248756219
22,PHASE 2,0.6001157209558307,0.8160545023696683,0.7960199004975125
23,PHASE 2,0.595751461274219,0.8133886255924171,0.7935323383084577
24,PHASE 2,0.5731628002985468,0.8252369668246445,0.8084577114427861
25,PHASE 2,0.5800857996603228,0.8157582938388626,0.7960199004975125
26,PHASE 2,0.5921389308740508,0.8148696682464455,0.7935323383084577
27,PHASE 2,0.5837242046617112,0.8127962085308057,0.8084577114427861
28,PHASE 2,0.6058787342231229,0.8145734597156398,0.7960199004975125
29,PHASE 2,0.5876100217958666,0.8213862559241706,0.8009950248756219
30,PHASE 2,0.5837133802332968,0.8255331753554502,0.7960199004975125
