class,precision,recall,f1_score,support
adobo,0.7254901960784313,0.9487179487179487,0.8222222222222222,39
amok_trey,0.7586206896551724,0.6470588235294118,0.6984126984126984,34
banh_mi,0.926829268292683,0.95,0.9382716049382716,40
hainanese_chicken_rice,0.6829268292682927,0.7368421052631579,0.7088607594936709,38
laksa,0.7741935483870968,0.5714285714285714,0.6575342465753424,42
laphet_thoke,0.8125,0.7027027027027027,0.7536231884057971,37
nasi_goreng,0.8620689655172413,0.5952380952380952,0.704225352112676,42
pad_thai,0.6122448979591837,0.7692307692307693,0.6818181818181818,39
pho,0.639344262295082,0.8863636363636364,0.7428571428571429,44
satay,1.0,0.8163265306122449,0.898876404494382,49
